tag_num,lambda,success,collision,utilization,offered_load
50,0.0004,25,0,0.025,0.025
50,0.001,53,2,0.053,0.055
50,0.002,90,25,0.09,0.115
50,0.003,117,44,0.117,0.161
50,0.004,136,65,0.136,0.201
50,0.006,163,123,0.163,0.286
50,0.008,175,198,0.175,0.373
50,0.01,165,317,0.165,0.482
50,0.012,179,397,0.179,0.576
50,0.016,170,610,0.17,0.78
50,0.02,129,807,0.129,0.936
50,0.024,126,987,0.126,1.113
50,0.03,76,1308,0.076,1.384
50,0.04,39,1764,0.039,1.803
10,0.02,143,59,0.143,0.202
20,0.02,175,207,0.175,0.382
30,0.02,186,387,0.186,0.573
40,0.02,173,573,0.173,0.746
50,0.02,129,807,0.129,0.936
60,0.02,112,1020,0.112,1.132
80,0.02,63,1473,0.063,1.536
100,0.02,39,1874,0.039,1.913
150,0.02,8,2837,0.008,2.845
200,0.02,2,3812,0.002,3.814
