tag_count,success_count,collision_count,partial_collision_count,full_collision_count,total_packets,success_rate,channel_utilization
10,821,165,153,12,986,0.8326572008113591,0.04105
15,1155,321,303,18,1476,0.782520325203252,0.05775
20,1479,489,455,34,1968,0.7515243902439024,0.07395
25,1682,774,679,95,2456,0.6848534201954397,0.08410000000000001
30,2010,938,819,119,2950,0.6813559322033899,0.1005
40,2265,1653,1449,204,3918,0.5781010719754976,0.11325
50,2511,2378,2024,354,4889,0.5136019635917366,0.12555000000000002
75,2466,4848,3820,1028,7314,0.33716160787530763,0.1233
100,2307,7408,5540,1868,9715,0.23746783324755533,0.11535000000000001
125,2214,9916,6895,3021,12130,0.18252267106347897,0.1107
150,2183,12352,8528,3824,14535,0.1501891984864121,0.10915000000000001
200,1971,17417,11540,5877,19391,0.1016450930844206,0.09855000000000001
250,1783,22430,14172,8258,24215,0.07363204625232295,0.08915000000000001
300,1708,27334,17105,10229,29045,0.05880530211740403,0.0854
